_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Quarterly Manual (meter)
1,1,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,10-01-2021 00:00,4.45
2,2,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,31-08-2021 06:00,5.11
3,3,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,30-01-2022 07:00,4.5
4,4,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,20-05-2022 06:00,12.7
5,5,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,01-11-2022 06:00,4.63
6,6,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,01-01-2023 00:00,4.72
7,7,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,01-06-2023 00:00,4.98
8,8,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,01-01-2024 00:00,2.38
9,9,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,30-01-2022 07:00,10.1
10,10,Achheja,CGWB,6,Haryana,619,Palwal,HODAL,HODAL,Achheja,-,-,-,-,-,-,28.04583333,77.46666667,,20-05-2022 06:00,3.44
11,11,Adampur,CGWB,6,Haryana,701,Charkhi Dadri,DADRI,DADRI-II,Adampur,-,-,-,-,-,-,28.51666667,76.21666667,,20-05-2022 06:00,15.5
12,12,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,20-05-2022 06:00,2.8
13,13,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,01-01-2023 00:00,0.98
14,14,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,01-06-2023 00:00,1.6
15,15,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,20-08-2023 00:00,0.98
16,16,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,01-11-2023 00:00,1.7
17,17,Adampur-Pz,CGWB,6,Haryana,63,HISAR,ADAMPUR,ADAMPUR,Adampur,-,-,-,-,-,-,29.27833333,75.49194444,,01-01-2024 00:00,1.82
18,18,Adhoya-Pz,CGWB,6,Haryana,68,KURUKSHETRA,PEHOWA,PEHOWA,Adhoya,-,-,-,-,-,-,30.06805556,76.48888889,,20-05-2022 06:00,40.67
19,19,Agaon-Pz,CGWB,6,Haryana,604,Nuh,FEROZPUR JHIRKA,FIROZEPUR JHIRKA,Agaon,-,-,-,-,-,-,27.73055556,76.96527778,,20-05-2022 06:00,16.8
20,20,Agroha,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.30833333,75.65,,20-08-2023 00:00,10.8
21,21,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,10-01-2021 00:00,7.35
22,22,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,31-08-2021 06:00,8.33
23,23,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,30-11-2021 06:00,7.23
24,24,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,30-01-2022 07:00,6.68
25,25,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,20-05-2022 06:00,11.1
26,26,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,01-08-2022 06:00,6.65
27,27,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,01-01-2023 00:00,3.5
28,28,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,01-06-2023 00:00,9.98
29,29,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,20-08-2023 00:00,11.3
30,30,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,01-11-2023 00:00,11.46
31,31,Agroha-Pz,CGWB,6,Haryana,63,HISAR,HISSAR,AGROHA,Agroha,-,-,-,-,-,-,29.325,75.62277778,,01-01-2024 00:00,11.19
32,32,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,10-01-2021 00:00,71.2
33,33,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,31-08-2021 06:00,70.73
34,34,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,30-11-2021 06:00,69.35
35,35,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,30-01-2022 07:00,72.45
36,36,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,20-05-2022 06:00,70
37,37,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,01-08-2022 06:00,78.02
38,38,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,01-11-2023 00:00,79.69
39,39,Aharwan M,CGWB,6,Haryana,61,FATEHABAD,RATIA,RATIA,Aharwan Med,-,-,-,-,-,-,29.60777778,75.54166667,,01-01-2024 00:00,78.59
40,40,Ahmadpur Majra-DW,CGWB,6,Haryana,75,SONIPAT,GOHANA,MUNDLANA,Ahmadpur Majra,-,-,-,-,-,-,29.21777778,76.69194444,,20-05-2022 06:00,7.98
41,41,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,10-01-2021 00:00,1.65
42,42,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,31-08-2021 06:00,3.46
43,43,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,30-01-2022 07:00,1.17
44,44,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,20-05-2022 06:00,3.98
45,45,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,01-08-2022 06:00,1.37
46,46,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,01-10-2022 00:00,1.25
47,47,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,01-11-2022 06:00,1.27
48,48,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,20-08-2023 00:00,1.27
49,49,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,01-11-2023 00:00,1.27
50,50,Ahulana,CGWB,6,Haryana,75,SONIPAT,GOHANA,KATHURA,Ahulana,-,-,-,-,-,-,29.11944444,76.64583333,,01-01-2024 00:00,1.2
51,51,Ajaib-DW,CGWB,6,Haryana,73,ROHTAK,MAHAM,MEHAM,Ajaib,-,-,-,-,-,-,28.975,76.42194444,,20-05-2022 06:00,2.45
52,52,Ajrana Kalan S,CGWB,6,Haryana,68,KURUKSHETRA,SHAHBAD,THANESAR,Ajrana Kalan S,-,-,-,-,-,-,30.09583333,76.77083333,,20-05-2022 06:00,45.8
53,53,Ajrawer-PZ,CGWB,6,Haryana,68,KURUKSHETRA,SHAHBAD,SHAHBAD,Ajrawer,-,-,-,-,-,-,30.14861111,76.68611111,,20-05-2022 06:00,44.9
54,54,Akaira,CGWB,6,Haryana,604,Nuh,NUH,NUH,Akaira,-,-,-,-,-,-,28.00833333,77.00416667,,10-01-2021 00:00,3.35
55,55,Akaira,CGWB,6,Haryana,604,Nuh,NUH,NUH,Akaira,-,-,-,-,-,-,28.00833333,77.00416667,,30-11-2021 06:00,4.92
56,56,Akaira,CGWB,6,Haryana,604,Nuh,NUH,NUH,Akaira,-,-,-,-,-,-,28.00833333,77.00416667,,30-01-2022 07:00,4.5
57,57,Akaira,CGWB,6,Haryana,604,Nuh,NUH,NUH,Akaira,-,-,-,-,-,-,28.00833333,77.00416667,,20-05-2022 06:00,3.85
58,58,Akaira,CGWB,6,Haryana,604,Nuh,NUH,NUH,Akaira,-,-,-,-,-,-,28.00833333,77.00416667,,01-11-2023 00:00,4.6
59,59,Akbarpur,CGWB,6,Haryana,604,Nuh,NUH,NUH,Gangoli,-,-,-,-,-,-,28.14583333,77.14166667,,10-01-2021 00:00,0.9
60,60,Alak Pura-DW,CGWB,6,Haryana,59,BHIWANI,BAWANI KHERA,BAWANI KHERA,Alak Pura,-,-,-,-,-,-,29.00138889,76.08388889,,20-05-2022 06:00,3.9
61,61,Alampur-DW,CGWB,6,Haryana,59,BHIWANI,TOSHAM,TOSHAM,Alampur,-,-,-,-,-,-,28.8,75.83277778,,20-05-2022 06:00,11.3
62,62,Alewa,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa,-,-,-,-,-,-,29.47083333,76.45416667,,31-08-2021 06:00,42.42
63,63,Alewa,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa,-,-,-,-,-,-,29.47083333,76.45416667,,20-05-2022 06:00,43
64,64,Alewa,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa,-,-,-,-,-,-,29.47083333,76.45416667,,01-08-2022 06:00,41.3
65,65,Alewa,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa,-,-,-,-,-,-,29.47083333,76.45416667,,01-10-2022 00:00,40.37
66,66,Alewa,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa,-,-,-,-,-,-,29.47083333,76.45416667,,01-11-2022 06:00,42.77
67,67,Alewa Pz,CGWB,6,Haryana,65,JIND,JIND,ALEWA,Alewa Pz,-,-,-,-,-,-,29.48055556,76.45,,10-01-2021 00:00,40.44
