District,1966,1970,1975,1980,1985,1990,1995,2000,2005,2010,2012
Ambala,69.11,113.52,120.11,96.7,109.9,156.1,165.9,93.1,110.4,117.2,66
Panchkula,*,*,*,*,*,*,*,134.1,82.7,114.2,73.9
Yamunanagar,*,*,*,*,*,145.6,148,113.4,94.8,138.4,84.5
Kurukshetra,*,*,62.76,60,52.9,55.9,102.4,45.7,29.2,67.1,26.3
Kaithal,*,*,*,*,*,90.8,77.7,36.5,60.3,56.7,17.5
Karnal,54.22,56.6,57.57,83.5,44.2,88.5,74.3,47.1,42,58.2,42.3
Panipat,*,*,*,*,*,53.7,87.4,40.2,51.6,88,38.4
Sonipat,*,*,55.56,101.4,60.1,69.4,91.5,53.8,50.9,71.8,40.3
Rohtak,65.49,54.32,83.9,46.9,59.3,55.1,84.9,43.8,54.7,47.4,21
Jhajjar,*,*,*,*,*,*,*,36,61.1,53.2,23.1
Faridabad,*,*,*,52.8,59.3,63.9,59.9,37.7,38.1,67.2,33.1
Palwal,*,*,*,*,*,*,*,*,*,71.5,39.1
Gurgaon,57.34,56.35,66.79,54.1,78.3,56.6,73.2,36.3,28,101.9,51.1
Mewat,*,*,*,*,*,*,*,*,0,88.9,40.9
Rewari,*,*,*,*,*,54.1,95.3,26.2,58.8,70.1,35.9
Mahendragarh,44.49,69.37,62.29,54.6,39.3,55.6,86,28.6,59.9,70.4,46.4
Bhiwani,*,*,41.22,30.1,36.6,49.7,66,18.7,40.9,45.8,29.8
Jind,42.84,41.55,49.36,31.8,56.2,47.9,99.6,35,69.8,71.2,66
Hisar,41.98,42.07,40.44,29.3,35.2,41.7,47.3,9.5,35.5,33,73.9
Fatehabad,*,*,*,*,*,*,*,9.5,42.9,42.6,84.5
Sirsa,*,*,*,21.3,62.8,46.2,37.1,18.5,21.5,33.3,26.3
