SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Quarterly Manual (meter)
1,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,20-08-2019 06:00,3.7
2,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,01-11-2019 06:00,4.95
3,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,10-01-2020 00:00,4.7
4,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,25-08-2020 00:00,3.94
5,Abdullapur,CGWB,6,Haryana,70,PANCHKULA,KALKA,PINJORE,Abdullapur,-,-,-,-,-,-,30.79472222,76.91638889,,30-11-2020 00:00,4.44
6,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-1996 06:00,10.62
7,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,15-05-1996 06:00,11.19
8,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,25-08-1996 06:00,12.01
9,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-11-1996 06:00,10.59
10,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-1997 06:00,11.07
11,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,25-08-1997 06:00,11.17
12,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-11-1997 06:00,10.02
13,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-1998 06:00,9.72
14,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,15-05-1998 06:00,10.82
15,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,25-08-1998 06:00,11.65
16,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-11-1998 06:00,9.33
17,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-1999 06:00,8.57
18,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,15-05-1999 06:00,10.16
19,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,25-08-1999 06:00,12.27
20,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-11-1999 06:00,10.84
21,Abholi,CGWB,6,Haryana,74,SIRSA,RANIA,RANIA,Abholi,-,-,-,-,-,-,29.50555556,74.87638889,,05-01-2000 06:00,10.57
