District,Month,Manual Daily Rainfall (mm)
Faridabad,1,12.46923076923077
Faridabad,2,5.473684210526316
Faridabad,3,8.438095238095238
Faridabad,4,1.2666666666666666
Faridabad,5,13.276271186440677
Faridabad,6,9.274137931034483
Faridabad,7,17.566
Faridabad,8,12.93884892086331
Faridabad,9,15.770000000000001
Faridabad,10,20.61935483870968
Faridabad,11,2.5
Faridabad,12,3.325
Jhajjar,6,17.75
Jhajjar,7,45.395348837209305
Jhajjar,8,27.49722222222222
Jhajjar,9,40.43333333333333
Jhajjar,10,19.625
Karnal,1,10.85625
Karnal,2,5.881818181818182
Karnal,3,16.116666666666667
Karnal,4,2.3000000000000003
Karnal,5,8.681481481481482
Karnal,6,18.259375
Karnal,7,14.083333333333334
Karnal,8,12.232000000000001
Karnal,9,15.379591836734694
Karnal,10,7.720000000000001
Karnal,12,7.300000000000001
Nuh,1,10.075
Nuh,2,4.2
Nuh,3,14.679999999999998
Nuh,4,16.533333333333335
Nuh,5,8.14
Nuh,6,19.05
Nuh,7,20.205882352941178
Nuh,8,18.456363636363633
Nuh,9,22.349999999999998
Nuh,10,28.52
Nuh,12,4.2
Palwal,1,12.772727272727273
Palwal,2,9.171428571428573
Palwal,3,9.266666666666667
Palwal,4,1.75
Palwal,5,18.604347826086954
Palwal,6,14.036842105263156
Palwal,7,23.522222222222222
Palwal,8,16.646153846153847
Palwal,9,21.212807017543863
Palwal,10,36.83
Palwal,12,5.333333333333333
Rewari,6,14.91111111111111
Rewari,7,20.92222222222222
Rewari,8,11.637037037037036
Rewari,9,26.054054054054053
Rewari,10,19.466666666666665
Yamunanagar,1,18.642553191489363
Yamunanagar,2,12.747619047619047
Yamunanagar,3,13.073333333333332
Yamunanagar,4,5.072727272727272
Yamunanagar,5,12.5
Yamunanagar,6,16.931544715447153
Yamunanagar,7,19.046643109540636
Yamunanagar,8,16.566545454545455
Yamunanagar,9,15.047120418848168
Yamunanagar,10,16.193333333333335
Yamunanagar,11,1.0
Yamunanagar,12,14.975
