_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
1,1,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,13-06-2021 08:30,7
2,2,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,03-07-2021 08:30,16
3,3,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,14-07-2021 08:30,46
4,4,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,19-07-2021 08:30,80
5,5,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,20-07-2021 08:30,230
6,6,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,21-07-2021 08:30,12
7,7,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,25-07-2021 08:30,7
8,8,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,29-07-2021 08:30,90
9,9,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,31-07-2021 08:30,16
10,10,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,02-08-2021 08:30,8
