District,Month,Volume Soilmoisture percentage (at 15cm)
Ambala,1,26.888434748709678
Ambala,2,19.782324820689656
Ambala,3,28.977489383548384
Ambala,4,27.219427376333332
Ambala,5,27.036892779655172
Ambala,6,22.893930823214284
Ambala,7,23.516773053125
Ambala,8,29.18485579548387
Ambala,9,18.741495436086957
Bhiwani,1,12.944975094193548
Bhiwani,2,11.655686208448275
Bhiwani,3,21.515512784838712
Bhiwani,4,14.804524434666666
Bhiwani,5,21.756308066551725
Bhiwani,6,18.207684208928573
Bhiwani,7,21.358231365625
Bhiwani,8,23.357890622258065
Bhiwani,9,20.307610304347826
Faridabad,1,14.809438215193548
Faridabad,2,13.302292599310345
Faridabad,3,23.13647678870968
Faridabad,4,16.691759669666666
Faridabad,5,22.474786154827587
Faridabad,6,20.889019216785716
Faridabad,7,30.07876306875
Faridabad,8,31.851340521290325
Faridabad,9,20.18352643869565
Fatehabad,1,19.90189004
Fatehabad,2,17.704888223793102
Fatehabad,3,24.80604794580645
Fatehabad,4,16.020954408333335
Fatehabad,5,25.63120991241379
Fatehabad,6,22.692051590357146
Fatehabad,7,24.311527404375
Fatehabad,8,24.63654805387097
Fatehabad,9,23.773898427391305
Gurgaon,1,13.408189923290323
Gurgaon,2,14.594235363448277
Gurgaon,3,22.719765608709675
Gurgaon,4,16.356360332666664
Gurgaon,5,22.792367007931034
Gurgaon,6,21.013164935714286
Gurgaon,7,27.982845915625
Gurgaon,8,31.434226073225805
Gurgaon,9,20.774306207391305
Hisar,1,16.937506927741932
Hisar,2,15.50623404724138
Hisar,3,24.064171059032258
Hisar,4,16.316757624333334
Hisar,5,24.227853146206897
Hisar,6,21.18259013535714
Hisar,7,23.5306864275
Hisar,8,24.211650088387096
Hisar,9,21.92309328478261
Jhajjar,1,13.240689928709678
Jhajjar,2,11.223455504827585
Jhajjar,3,23.759267852903225
Jhajjar,4,17.265017117666666
Jhajjar,5,23.133606934827586
Jhajjar,6,19.505847582857143
Jhajjar,7,25.032223648125
Jhajjar,8,27.638017100967744
Jhajjar,9,20.705363364347825
Jind,1,21.49704787
Jind,2,21.280196611724136
Jind,3,24.889279670967742
Jind,4,20.815973321999998
Jind,5,25.597945543448276
Jind,6,24.210530716785716
Jind,7,24.883001850625
Jind,8,24.692564343870966
Jind,9,21.35930165521739
Kaithal,1,24.037320010000002
Kaithal,2,21.26341198275862
Kaithal,3,24.901703286451614
Kaithal,4,21.080861431000002
Kaithal,5,25.28410486413793
Kaithal,6,22.85862492357143
Kaithal,7,24.57633822125
Kaithal,8,25.50542181516129
Kaithal,9,22.203657815652175
Karnal,1,23.03670455
Karnal,2,18.593049688275862
Karnal,3,24.79027848322581
Karnal,4,21.557858902
Karnal,5,24.28332231275862
Karnal,6,17.654751137857144
Karnal,7,23.132795395625
Karnal,8,26.03928178774194
Karnal,9,20.651728858695652
Kurukshetra,1,25.641416256774193
Kurukshetra,2,20.415572887586208
Kurukshetra,3,26.131928435483868
Kurukshetra,4,23.577764624
Kurukshetra,5,25.606066590344827
Kurukshetra,6,20.02603002214286
Kurukshetra,7,22.802694256875
Kurukshetra,8,26.62811857806452
Kurukshetra,9,19.02359761565217
Mahendragarh,1,10.384362135064517
Mahendragarh,2,7.892248945655172
Mahendragarh,3,21.19356473354839
Mahendragarh,4,18.208962574
Mahendragarh,5,21.62226525137931
Mahendragarh,6,14.912930851071428
Mahendragarh,7,23.55158794375
Mahendragarh,8,26.533320447741936
Mahendragarh,9,22.056877606956522
Mewat,1,11.97660416483871
Mewat,2,11.174098954482758
Mewat,3,23.28226076967742
Mewat,4,19.94692749833333
Mewat,5,24.20270439172414
Mewat,6,21.602282093214285
Mewat,7,27.433004986875
Mewat,8,33.02179156580645
Mewat,9,23.37254576304348
Palwal,1,15.9716664
Palwal,2,14.456291372413792
Palwal,3,25.157942077741936
Palwal,4,21.040563802666668
Palwal,5,26.219250628275862
Palwal,6,23.266149990714286
Palwal,7,28.86570291625
Palwal,8,33.16245304967742
