State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name
Haryana,Ambala,2018-08-05,2018,08,17.9276869,NRSC VIC MODEL
Haryana,Ambala,2018-08-08,2018,08,19.6982348,NRSC VIC MODEL
Haryana,Ambala,2018-08-09,2018,08,19.1349574,NRSC VIC MODEL
Haryana,Ambala,2018-08-11,2018,08,18.6794606,NRSC VIC MODEL
Haryana,Ambala,2018-08-15,2018,08,17.8107732,NRSC VIC MODEL
Haryana,Ambala,2018-08-24,2018,08,20.1403077,NRSC VIC MODEL
Haryana,Ambala,2018-08-26,2018,08,18.2512698,NRSC VIC MODEL
Haryana,Ambala,2018-08-31,2018,08,19.6630966,NRSC VIC MODEL
Haryana,Ambala,2018-08-28,2018,08,21.3106089,NRSC VIC MODEL
Haryana,Bhiwani,2018-08-26,2018,08,18.046999,NRSC VIC MODEL
Haryana,Charki Dadri,2018-08-01,2018,08,12.4054985,NRSC VIC MODEL
Haryana,Charki Dadri,2018-08-08,2018,08,14.7989145,NRSC VIC MODEL
Haryana,Charki Dadri,2018-08-09,2018,08,13.7800385,NRSC VIC MODEL
Haryana,Charki Dadri,2018-08-13,2018,08,12.924518,NRSC VIC MODEL
Haryana,Faridabad,2018-08-01,2018,08,18.9893607,NRSC VIC MODEL
Haryana,Faridabad,2018-08-08,2018,08,17.875381,NRSC VIC MODEL
Haryana,Faridabad,2018-08-17,2018,08,15.7533474,NRSC VIC MODEL
Haryana,Faridabad,2018-08-26,2018,08,19.3763352,NRSC VIC MODEL
Haryana,Faridabad,2018-08-29,2018,08,23.9307239,NRSC VIC MODEL
Haryana,Fatehabad,2018-08-16,2018,08,15.3843778,NRSC VIC MODEL
Haryana,Fatehabad,2018-08-17,2018,08,15.7988008,NRSC VIC MODEL
Haryana,Gurugram,2018-08-01,2018,08,17.7959186,NRSC VIC MODEL
Haryana,Gurugram,2018-08-06,2018,08,15.3046949,NRSC VIC MODEL
Haryana,Gurugram,2018-08-14,2018,08,15.4151725,NRSC VIC MODEL
Haryana,Gurugram,2018-08-21,2018,08,19.7014903,NRSC VIC MODEL
